best epoch, train loss, train mae, valid loss, valid mae, test loss, test mae
00000123, 4.32695150, 1.08056259, 3.92573643, 0.92574835, 7.23078775, 1.42867672
00000109, 5.28819275, 1.20460844, 3.96865010, 0.95579571, 7.76047039, 1.51368737
00000078, 4.20311880, 1.05331624, 3.75505447, 0.88107842, 6.76263189, 1.37534344
00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
00000092, 5.95808744, 1.26816738, 4.80482674, 1.01111424, 7.80830479, 1.48599124
00000029, 0.22258610, 0.25613219, 0.21322410, 0.23992482, 0.20392276, 0.22937132
00000025, 0.25843924, 0.27230659, 0.26324469, 0.26286045, 0.24551694, 0.24907348
00000029, 7.79215384, 1.54065287, 7.70043087, 1.51231933, 7.70705795, 1.49667978
00000028, 2.23245716, 0.73549443, 2.22096562, 0.71415222, 2.01879215, 0.67081028
00000028, 10.90427208, 2.18848324, 12.42624950, 2.46016979, 10.71695995, 2.23163700
00000029, 10.41883373, 2.14539981, 11.88644886, 2.38915443, 10.36363029, 2.17165971
00000149, 5.41932964, 1.54308450, 6.36991739, 1.74281585, 5.94496679, 1.62933469
00000199, 2.46064067, 1.01611936, 2.78594160, 1.11743546, 3.99551129, 1.22499275
00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
00000026, 7.00015259, 1.78480315, 6.60472536, 1.72319186, 6.39696169, 1.69032693
00000027, 4.58481741, 1.42465281, 4.81663179, 1.43498230, 4.43858337, 1.36728799
00000197, 0.33016029, 0.31529012, 0.46095398, 0.34201112, 0.58050001, 0.35258895
00000180, 0.48932102, 0.38966176, 0.80893630, 0.43319184, 0.71930915, 0.41940963
00000143, 0.49751967, 0.40157360, 0.87054199, 0.39824942, 0.67908365, 0.39521641
00000149, 6.61948156, 1.72637796, 5.30326557, 1.51454794, 5.58998823, 1.55658829
00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
00000074, 6.96730042, 1.75859261, 6.34727097, 1.66653264, 6.31250763, 1.68052185
00000197, 7.97044659, 2.00315905, 6.74724245, 1.80750632, 6.95641184, 1.84341955
