lr-Adam,step,train_loss,tm1,tm2,epoch,val_loss,vm1,vm2
0.01,0,,,,,,,
,0,209.1947479248047,12.739340782165527,13.090248107910156,0,,,
0.01,1,,,,,,,
,1,205.49737548828125,12.74388599395752,12.526321411132812,0,,,
0.01,2,,,,,,,
,2,164.18508911132812,10.82499885559082,10.681415557861328,0,,,
0.01,3,,,,,,,
,3,183.6136474609375,11.765932083129883,11.952587127685547,0,,,
0.01,4,,,,,,,
,4,143.7454833984375,10.064788818359375,10.261879920959473,0,,,
0.01,5,,,,,,,
,5,204.187744140625,12.358551979064941,12.552448272705078,0,,,
0.01,6,,,,,,,
,6,141.589111328125,9.767060279846191,9.92304515838623,0,,,
0.01,7,,,,,,,
,7,226.9503631591797,13.167667388916016,13.118108749389648,0,,,
0.01,8,,,,,,,
,8,231.3635711669922,13.802080154418945,13.726417541503906,0,,,
0.01,9,,,,,,,
,9,139.62542724609375,9.936663627624512,9.805821418762207,0,,,
0.01,10,,,,,,,
,10,186.73016357421875,12.095641136169434,12.35525131225586,0,,,
0.01,11,,,,,,,
,11,142.27613830566406,10.511613845825195,9.801654815673828,0,,,
0.01,12,,,,,,,
,12,158.65794372558594,10.835592269897461,10.453606605529785,0,,,
0.01,13,,,,,,,
,13,206.63189697265625,13.064207077026367,12.881171226501465,0,,,
0.01,14,,,,,,,
,14,142.86866760253906,9.35735034942627,9.395241737365723,0,,,
0.01,15,,,,,,,
,15,224.77427673339844,14.00378131866455,13.805066108703613,0,,,
,15,,,,0,181.8103790283203,12.149496078491211,12.149263381958008
0.01,16,,,,,,,
,16,154.537353515625,9.721073150634766,9.628366470336914,1,,,
0.01,17,,,,,,,
,17,187.07540893554688,11.89710807800293,11.66904354095459,1,,,
0.01,18,,,,,,,
,18,140.50924682617188,9.653345108032227,9.782246589660645,1,,,
0.01,19,,,,,,,
,19,208.1612091064453,12.084054946899414,12.61755084991455,1,,,
0.01,20,,,,,,,
,20,215.58306884765625,13.636716842651367,13.782035827636719,1,,,
0.01,21,,,,,,,
,21,193.24942016601562,12.323204040527344,12.287383079528809,1,,,
0.01,22,,,,,,,
,22,138.07809448242188,10.275055885314941,9.992822647094727,1,,,
0.01,23,,,,,,,
,23,155.11997985839844,10.931485176086426,10.797130584716797,1,,,
0.01,24,,,,,,,
,24,144.40798950195312,10.790030479431152,10.49073600769043,1,,,
0.01,25,,,,,,,
,25,148.81251525878906,9.755062103271484,9.783004760742188,1,,,
0.01,26,,,,,,,
,26,93.69664764404297,8.083345413208008,8.038716316223145,1,,,
0.01,27,,,,,,,
,27,152.86257934570312,10.842144012451172,10.984962463378906,1,,,
0.01,28,,,,,,,
,28,158.089111328125,10.504494667053223,10.093793869018555,1,,,
0.01,29,,,,,,,
,29,189.00558471679688,12.388547897338867,12.360532760620117,1,,,
0.01,30,,,,,,,
,30,150.6578369140625,10.147896766662598,10.235359191894531,1,,,
0.01,31,,,,,,,
,31,112.5311050415039,9.009871482849121,8.791109085083008,1,,,
,31,,,,1,166.26319885253906,11.507248878479004,11.54301643371582
0.01,32,,,,,,,
,32,155.36276245117188,10.429271697998047,10.11665153503418,2,,,
0.01,33,,,,,,,
,33,136.12669372558594,9.450887680053711,9.391091346740723,2,,,
0.01,34,,,,,,,
,34,174.4466094970703,11.533679962158203,11.778249740600586,2,,,
0.01,35,,,,,,,
,35,83.68218994140625,7.095726013183594,6.848840713500977,2,,,
0.01,36,,,,,,,
,36,147.9899139404297,10.647764205932617,10.779060363769531,2,,,
0.01,37,,,,,,,
,37,136.92774963378906,9.750041961669922,9.73292350769043,2,,,
0.01,38,,,,,,,
,38,165.5419921875,11.243024826049805,10.969072341918945,2,,,
0.01,39,,,,,,,
,39,169.78602600097656,11.1980619430542,11.153860092163086,2,,,
0.01,40,,,,,,,
,40,166.1317596435547,11.395645141601562,11.757572174072266,2,,,
0.01,41,,,,,,,
,41,172.842041015625,11.553564071655273,11.710556983947754,2,,,
0.01,42,,,,,,,
,42,119.10092163085938,9.512372970581055,9.747772216796875,2,,,
0.01,43,,,,,,,
,43,150.8479461669922,10.801006317138672,10.550824165344238,2,,,
0.01,44,,,,,,,
,44,119.01112365722656,8.775657653808594,8.814591407775879,2,,,
0.01,45,,,,,,,
,45,131.7669677734375,8.975677490234375,8.959798812866211,2,,,
0.01,46,,,,,,,
,46,155.74331665039062,11.056562423706055,10.818671226501465,2,,,
0.01,47,,,,,,,
,47,225.13858032226562,13.228253364562988,13.315279960632324,2,,,
,47,,,,2,151.4986572265625,10.912858963012695,10.949606895446777
0.01,48,,,,,,,
,48,162.172607421875,11.417247772216797,11.373418807983398,3,,,
0.01,49,,,,,,,
,49,130.11532592773438,9.978766441345215,9.640336990356445,3,,,
0.01,50,,,,,,,
,50,123.90474700927734,9.29237174987793,9.122233390808105,3,,,
0.01,51,,,,,,,
,51,173.32431030273438,11.67142105102539,11.620523452758789,3,,,
0.01,52,,,,,,,
,52,131.55557250976562,9.256420135498047,9.619200706481934,3,,,
0.01,53,,,,,,,
,53,111.90986633300781,7.973817825317383,8.154516220092773,3,,,
0.01,54,,,,,,,
,54,162.5762939453125,10.681283950805664,10.9166841506958,3,,,
0.01,55,,,,,,,
,55,130.51663208007812,10.224956512451172,10.164129257202148,3,,,
0.01,56,,,,,,,
,56,137.382080078125,9.844459533691406,10.132927894592285,3,,,
0.01,57,,,,,,,
,57,157.15716552734375,10.862972259521484,10.69929027557373,3,,,
0.01,58,,,,,,,
,58,125.34317016601562,9.561225891113281,9.247095108032227,3,,,
0.01,59,,,,,,,
,59,119.446044921875,9.312721252441406,9.260436058044434,3,,,
0.01,60,,,,,,,
,60,125.3801498413086,9.328173637390137,9.380901336669922,3,,,
0.01,61,,,,,,,
,61,130.55677795410156,10.095593452453613,9.888797760009766,3,,,
0.01,62,,,,,,,
,62,108.44975280761719,7.892926216125488,7.9141106605529785,3,,,
0.01,63,,,,,,,
,63,83.6067123413086,6.719448089599609,6.958309173583984,3,,,
,63,,,,3,136.5079345703125,10.295930862426758,10.333593368530273
0.01,64,,,,,,,
,64,119.28482818603516,9.388439178466797,9.717995643615723,4,,,
0.01,65,,,,,,,
,65,105.18373107910156,8.179150581359863,7.853400230407715,4,,,
0.01,66,,,,,,,
,66,122.09576416015625,9.158516883850098,9.31727123260498,4,,,
0.01,67,,,,,,,
,67,103.4389877319336,7.910458564758301,8.109685897827148,4,,,
0.01,68,,,,,,,
,68,154.97686767578125,11.724021911621094,11.310523986816406,4,,,
0.01,69,,,,,,,
