timestamp,PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE,POGAČARJEV TRG-TRŽNICA,KONGRESNI TRG-ŠUBIČEVA ULICA,CANKARJEVA UL.-NAMA,BREG,GRUDNOVO NABREŽJE-KARLOVŠKA C.,MIKLOŠIČEV PARK,BAVARSKI DVOR,TRG OF-KOLODVORSKA UL.,MASARYKOVA DDC,VILHARJEVA CESTA,PARK NAVJE-ŽELEZNA CESTA,TRG MDB,PARKIRIŠČE NUK 2-FF,AMBROŽEV TRG,GH ŠENTPETER-NJEGOŠEVA C.,ILIRSKA ULICA,TRŽAŠKA C.-ILIRIJA,TIVOLI,STARA CERKEV,KINO ŠIŠKA,ŠPICA,BARJANSKA C.-CENTER STAREJŠIH TRNOVO,ZALOŠKA C.-GRABLOVIČEVA C.,TRŽNICA MOSTE,ROŽNA DOLINA-ŠKRABČEVA UL.,DUNAJSKA C.-PS PETROL,PLEČNIKOV STADION,DUNAJSKA C.-PS MERCATOR,LIDL - VOJKOVA CESTA,ŠPORTNI CENTER STOŽICE,KOPRSKA ULICA,MERCATOR CENTER ŠIŠKA,CITYPARK,BTC CITY/DVORANA A,BTC CITY ATLANTIS,TRNOVO,P+R BARJE,P + R DOLGI MOST,BONIFACIJA,ANTONOV TRG,BRATOVŠEVA PLOŠČAD,BS4-STOŽICE,SAVSKO NASELJE 2-LINHARTOVA CESTA,SAVSKO NASELJE 1-ŠMARTINSKA CESTA,SITULA,ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA,HOFER-KAJUHOVA,BRODARJEV TRG,PREGLOV TRG,LIDL-LITIJSKA CESTA,ŽIVALSKI VRT,CESTA NA ROŽNIK,ŠMARTINSKI PARK,POLJANSKA-POTOČNIKOVA,SREDNJA FRIZERSKA ŠOLA,POVŠETOVA-GRABLOVIČEVA,TRŽNICA KOSEZE,LIDL BEŽIGRAD,MERCATOR MARKET - CELOVŠKA C. 163,RAKOVNIK,ALEJA - CELOVŠKA CESTA,IKEA,KOPALIŠČE KOLEZIJA,VIŠKO POLJE,KOSEŠKI BAJER,DRAVLJE,ČRNUČE,STUDENEC,POLJE,ZALOG,LIDL - RUDNIK,PRUŠNIKOVA,POVŠETOVA - KAJUHOVA,SOSESKA NOVO BRDO,TEHNOLOŠKI PARK,VOJKOVA - GASILSKA BRIGADA,GERBIČEVA - ŠPORTNI PARK SVOBODA,DOLENJSKA C. - STRELIŠČE,ROŠKA - STRELIŠKA,LEK - VEROVŠKOVA,VOKA - SLOVENČEVA,SUPERNOVA LJUBLJANA - RUDNIK
2022-08-04 23:24:00,10,14,3,4,5,14,6,2,4,2,9,1,2,1,12,3,5,2,8,9,13,7,7,1,5,8,0,1,2,14,21,2,4,2,1,10,1,11,10,6,6,18,7,6,7,2,14,12,9,17,15,7,7,5,5,4,7,7,0,17,14,3,0,0,2,7,1,8,13,9,12,4,7,2,0,0,2,8,1,1,0,2,8
2022-08-05 00:24:00,9,14,4,8,3,11,5,2,6,2,5,1,4,1,3,1,3,3,5,7,8,5,5,1,6,11,0,1,3,13,21,2,4,10,1,8,1,11,11,6,5,18,7,5,5,2,10,12,5,16,15,7,2,4,3,4,5,8,0,14,13,4,0,2,3,7,1,8,13,10,12,3,6,3,1,0,3,8,4,1,4,2,8
2022-08-08 04:58:00,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,1,0,17,3,2,18,14,15,7,17,8,0,13,16,18,10,3,9,5,3,0,6,6,13,7,3,7,14,6,3,0,15,3,19,3,14,1,13,4,5,0,16,14,2,17,12,3,4,5,5,2,2,14,19,10,15,0,7,8,11,4,8,17,5,5,2,7,0
2022-08-08 05:58:00,13,2,3,0,0,1,0,0,2,0,1,1,0,3,2,1,0,12,7,4,12,11,9,4,11,5,0,10,7,11,11,0,3,5,4,1,6,9,6,7,4,6,14,3,10,1,11,3,13,6,14,1,10,6,1,2,9,10,2,8,11,7,4,1,6,3,3,13,13,11,13,1,5,6,1,2,8,13,5,2,0,7,0
2022-08-11 21:13:00,4,1,4,10,11,7,1,2,3,2,4,1,3,1,5,0,3,13,3,9,1,12,3,1,8,7,0,4,2,12,11,2,4,2,8,2,4,10,8,1,8,6,15,5,8,8,17,8,5,6,13,1,6,2,1,6,6,6,2,2,10,5,0,2,10,5,1,7,9,6,7,0,4,12,12,1,1,8,6,0,3,1,3
2022-08-11 22:13:00,2,4,5,9,8,4,2,5,7,5,7,1,2,1,4,2,4,11,3,3,7,12,5,1,8,4,1,5,3,13,12,3,4,7,7,2,7,9,9,0,5,9,13,3,8,8,17,7,7,8,13,0,6,4,1,6,4,6,6,3,9,5,3,3,12,4,1,7,10,6,6,0,6,11,11,2,3,9,5,3,1,2,3
2022-08-16 07:10:00,0,0,1,1,0,0,0,1,2,0,1,0,3,1,4,2,0,11,0,1,9,6,4,8,12,3,6,5,9,15,16,3,0,10,0,3,8,10,5,7,14,8,17,2,8,2,1,8,8,9,3,0,7,7,11,13,3,9,4,17,6,9,6,2,6,16,4,4,13,8,7,5,9,14,9,6,12,18,2,12,2,4,6
2022-08-16 08:10:00,4,4,6,12,3,3,1,6,1,4,1,0,3,3,5,2,1,6,1,5,5,7,3,6,7,3,4,4,6,12,15,0,1,9,1,5,5,10,5,4,13,7,17,3,3,3,13,8,14,9,3,0,5,6,10,11,3,7,5,11,7,9,0,1,6,16,3,3,11,8,8,5,7,14,6,4,11,14,2,8,3,4,5
2022-08-18 17:30:00,11,4,6,10,2,4,11,15,18,5,8,1,3,1,10,3,3,3,6,4,11,9,10,0,5,13,2,4,1,11,4,3,4,2,7,7,4,2,10,2,8,3,7,5,7,5,9,11,10,15,2,0,7,5,2,5,5,8,0,5,5,4,5,9,2,4,9,8,10,8,13,5,9,9,8,9,1,10,5,1,0,1,3
2022-08-18 18:27:00,9,3,4,4,2,2,9,11,17,3,5,2,0,1,3,0,4,4,4,2,15,7,11,1,6,9,1,6,2,10,4,2,4,3,6,6,4,3,11,4,8,5,8,4,7,6,12,10,12,16,3,2,9,5,2,4,4,7,0,6,8,4,2,8,4,6,7,8,10,8,12,4,9,9,9,6,2,10,5,2,0,1,2
2022-08-21 11:07:00,4,5,1,7,4,0,4,4,18,2,1,1,1,1,1,2,2,14,1,10,13,2,14,1,4,3,0,1,0,16,8,3,7,6,11,3,2,6,10,7,6,15,17,4,4,3,13,3,16,16,8,1,0,14,4,3,16,16,1,6,6,3,1,2,8,9,1,12,6,10,16,0,13,19,17,7,7,7,14,3,3,9,1
2022-08-21 12:07:00,3,9,0,0,5,0,5,3,13,2,1,2,1,0,2,2,2,12,2,6,15,3,12,4,3,3,1,1,3,14,11,1,7,8,12,3,2,7,9,7,5,12,13,4,6,2,14,5,15,15,8,0,1,11,6,4,16,12,2,7,7,4,2,3,7,9,1,10,6,10,15,0,12,18,18,7,7,9,13,4,2,7,2
2022-08-24 15:09:00,11,15,14,14,17,9,3,9,12,8,2,0,10,15,3,0,3,1,3,6,6,4,4,0,5,1,1,4,2,11,2,5,2,16,17,9,2,6,4,1,4,5,7,2,9,9,6,8,9,13,14,13,2,3,2,8,13,1,5,7,6,7,3,3,2,2,0,13,14,7,9,1,1,4,0,7,1,13,5,1,2,1,3
2022-08-24 16:09:00,12,14,15,14,16,7,4,3,18,7,3,1,4,8,4,3,3,2,4,6,6,5,5,1,6,3,0,4,2,9,4,4,3,14,13,10,3,6,4,2,4,7,7,3,8,8,10,8,11,14,14,11,3,5,2,7,10,3,4,6,7,5,0,0,2,2,1,13,14,8,10,1,2,3,0,8,3,13,5,2,0,2,3
2022-08-29 03:05:00,0,0,0,0,0,0,0,0,1,0,1,4,0,0,5,1,0,16,0,7,7,11,19,10,20,3,1,11,13,2,1,3,7,2,5,13,15,11,8,6,6,15,2,10,10,3,18,10,11,18,18,7,2,8,2,11,18,11,16,15,2,7,1,6,5,9,4,6,11,15,8,3,10,19,6,1,12,18,6,11,2,8,4
2022-08-29 04:01:00,0,0,0,0,1,0,0,0,3,0,11,1,2,0,4,1,0,12,1,9,11,8,18,7,19,7,1,10,8,4,2,2,2,5,6,8,14,12,8,6,9,15,4,10,9,5,13,10,10,16,17,4,3,5,0,8,10,8,3,4,3,7,0,6,5,7,6,4,9,14,9,3,7,17,11,1,12,18,6,7,1,7,3
2022-08-31 06:37:00,0,0,0,0,0,0,0,0,1,0,10,9,0,0,2,1,3,11,0,2,19,13,17,7,8,12,6,13,15,6,1,0,2,11,9,0,10,8,10,7,11,15,8,14,6,10,18,16,7,19,15,0,7,5,7,3,7,15,2,8,12,16,0,1,7,0,7,11,13,8,9,0,9,18,13,2,14,15,11,3,0,3,2
2022-08-31 07:34:00,0,0,1,3,1,0,1,1,2,0,8,7,1,0,2,6,2,5,1,2,17,7,14,7,7,9,5,11,13,5,3,0,2,9,8,0,9,8,9,4,11,14,8,12,5,6,18,16,8,17,12,0,6,4,7,2,7,12,1,7,12,16,0,2,8,2,6,10,12,8,9,1,9,15,10,2,13,14,10,2,3,4,1
2022-09-03 15:48:00,16,4,14,17,2,0,10,2,20,5,1,1,1,1,1,2,3,0,4,1,4,2,1,1,14,2,4,3,2,0,10,3,9,16,17,12,1,13,10,8,6,12,12,2,4,3,1,15,16,13,16,0,1,4,0,4,2,5,3,1,4,6,7,0,10,12,7,7,9,7,9,15,11,7,8,5,1,2,4,7,10,8,4
2022-09-03 16:42:00,10,3,15,14,4,1,9,1,10,4,2,2,2,1,2,2,4,1,5,2,6,5,7,3,17,4,1,2,4,6,11,3,9,13,14,11,1,11,11,8,5,12,12,3,6,5,3,14,14,14,16,2,3,6,0,4,4,9,1,2,4,5,5,3,10,7,6,7,8,7,10,14,10,8,12,6,1,6,5,6,10,6,3
2022-09-05 18:34:00,0,3,1,3,1,5,3,4,4,2,13,4,2,1,2,6,1,2,4,4,5,6,12,1,3,10,2,4,2,9,12,3,8,16,11,10,0,13,10,1,7,7,5,11,3,8,9,16,3,9,7,1,6,7,2,0,4,10,1,1,7,3,7,1,7,9,2,4,10,8,9,3,2,6,10,10,5,6,9,3,7,7,3
2022-09-05 19:35:00,0,10,0,6,2,0,5,6,0,2,6,5,3,2,5,10,1,3,3,2,2,5,9,2,5,7,8,6,3,9,13,0,5,10,8,7,1,11,8,1,7,8,7,12,3,9,8,12,7,9,8,0,4,5,2,7,3,9,3,2,8,7,4,2,7,8,2,4,10,8,9,4,4,9,8,8,5,7,10,7,10,8,2
2022-09-08 07:44:00,0,0,1,5,0,0,2,0,2,0,1,16,3,0,3,6,0,11,0,5,12,5,13,12,18,10,6,6,3,1,1,1,6,2,6,2,4,5,7,5,19,14,18,16,13,2,16,15,16,16,13,0,12,1,18,9,13,13,7,16,5,8,4,1,12,5,4,9,7,9,9,6,7,12,13,1,16,15,11,2,2,3,5
2022-09-08 08:44:00,3,4,9,18,2,0,1,6,3,3,5,7,6,9,3,4,1,8,1,6,13,5,13,10,17,7,4,7,5,2,2,1,7,2,6,4,4,6,6,5,15,11,16,6,10,4,12,15,7,10,11,4,11,0,2,9,11,10,13,8,13,8,0,2,12,5,5,8,7,10,9,5,5,11,10,1,13,12,9,2,6,3,5
2022-09-10 05:50:00,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,10,0,3,21,5,18,9,19,8,0,16,15,18,17,0,10,0,1,0,14,12,8,9,16,8,1,18,5,8,9,10,6,14,14,4,0,10,7,10,4,14,13,8,16,4,0,7,8,10,14,8,10,10,9,3,6,10,20,7,2,11,11,0,5,13,10
2022-09-10 06:50:00,0,0,0,1,0,1,0,1,0,0,5,9,1,0,0,0,0,7,0,0,19,5,17,10,19,6,0,12,14,17,17,0,8,1,2,0,14,13,9,10,16,7,2,17,5,3,9,9,5,13,11,4,0,10,8,10,5,13,12,8,14,4,0,4,9,10,14,8,9,11,9,3,5,9,8,7,5,10,11,0,1,12,9
2022-09-12 09:32:00,11,7,13,12,8,4,5,6,3,0,0,8,8,12,9,7,1,2,8,0,3,5,9,14,19,4,2,3,6,10,11,4,10,3,6,4,3,15,9,7,13,2,5,2,1,3,0,11,4,11,3,1,4,12,1,9,12,1,1,0,2,2,15,4,15,8,2,1,6,15,7,8,0,7,0,13,6,14,8,1,7,7,10
2022-09-12 10:32:00,0,5,1,4,8,4,2,4,2,3,0,7,5,1,6,7,3,4,5,8,5,5,9,12,13,14,1,7,6,9,12,2,10,3,5,6,3,11,9,6,6,4,6,2,4,6,13,10,12,10,3,7,3,9,15,8,13,14,1,7,7,6,3,4,15,7,6,3,7,13,8,8,5,8,7,6,8,10,8,0,0,6,10
2022-09-17 18:25:00,10,10,1,5,14,5,0,3,13,11,10,15,1,1,4,1,4,4,1,4,7,1,11,8,8,3,2,5,10,5,13,6,9,0,6,9,6,10,10,13,15,8,14,9,1,6,9,6,11,10,18,11,12,9,7,8,3,10,4,8,2,6,3,3,3,8,5,9,14,15,15,4,5,9,7,10,13,4,8,1,9,14,5
2022-09-17 19:25:00,7,10,5,3,11,2,1,1,12,10,7,10,3,1,3,5,3,8,3,2,4,3,10,7,9,5,2,4,12,6,13,5,9,1,5,8,8,9,10,13,12,8,13,9,2,5,9,6,11,12,18,9,10,8,7,8,3,9,12,8,9,7,3,5,3,8,5,9,14,15,14,5,5,9,6,10,13,8,9,1,8,14,4
2022-09-20 23:43:00,1,1,2,1,11,11,0,1,16,12,3,2,7,2,8,1,3,1,3,13,21,3,18,6,18,11,2,7,7,12,11,6,7,0,0,8,7,15,6,14,18,10,5,8,8,11,15,11,18,18,6,7,2,7,17,1,14,14,5,8,17,12,1,7,6,0,7,9,8,15,11,2,6,11,1,3,6,7,8,7,0,3,7
